Term,Score
fire,6.602956068208308
nation,5.292011109040482
fire nation,5.164193189382129
school,3.5245317688983673
love,3.4429693110196458
dance,3.1156157556544457
avatar,2.7421956962489693
iroh,2.541980727072707
also,2.273170087877206
students,2.15999652318154
hide,1.979103064978146
like,1.934582784174864
scene,1.8538248973530935
teacher,1.7395174182957738
cave,1.6328886318922267
headband,1.5746352858203547
one,1.4506349019795393
ji,1.353093759572329
kids,1.293723870633157
do,1.1680601933464858
